Pathway	Homology Score	Total genes	Mapped genes	Multi-mapped genes	No homology mapping genes	No mapping genes	No xref genes	mapped genes	multi-mapped genes	no homology mapping genes	no mapping genes	no xref genes
NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence (WP5046)	85.0	27	23	0	0	4	0	[a14b5 : Rb1 : En:ENSRNOG00000016029, a2ded : G6PDH : En:ENSRNOG00000056728, a2ea6 : Slc2a4 : En:ENSRNOG00000017226, a40e8 : Mdh2 : En:ENSRNOG00000001440, aa2c6 : GOT2 : En:ENSRNOG00000064101, ac49e : Il1b : En:ENSRNOG00000004649, b4e56 : Hmga1 : En:ENSRNOG00000000488, c0bce : Slc2a1 : En:ENSRNOG00000007284, c3172 : Ccl27 : En:ENSRNOG00000039530, c4d9b : Elavl1 : En:ENSRNOG00000001069, c51ab : Got1 : En:ENSRNOG00000016356, c5fc7 : Sirt5 : En:ENSRNOG00000017866, ca5b6 : Il6 : En:ENSRNOG00000010278, cd818 : Rela : En:ENSRNOG00000030888, d7a66 : Nmnat2 : En:ENSRNOG00000027697, dac79 : Parp1 : En:ENSRNOG00000003084, de294 : Sirt1 : En:ENSRNOG00000051592, de775 : Sirt2 : En:ENSRNOG00000020102, e1418 : Prkaa1 : En:ENSRNOG00000012799, e2a85 : Nampt : En:ENSRNOG00000009754, e41d7 : Tp53 : En:ENSRNOG00000010756, e5b08 : Sirt3 : En:ENSRNOG00000013828, eb049 : Mdh1 : En:ENSRNOG00000008103]	[]	[]	[a3897 : SCO2 : En:ENSG00000130489, b1951 : p38 MAPK : S:Q3C2E3, de749 : IL-10 : En:ENSGALG00000000892, f9b7a : TNF-a : En:ENSG000002328]	[]
Pentose phosphate pathway in senescent cells (WP5043)	84.0	13	11	0	0	0	2	[a65df : Rpe : En:ENSRNOG00000038085, ab70f : Rpe : En:ENSRNOG00000038085, ad486 : Taldo1 : En:ENSRNOG00000018367, b2c18 : Tp53 : En:ENSRNOG00000010756, b3776 : Prps1l1 : En:ENSRNOG00000032513, b5dc3 : G6PD : En:ENSRNOG00000056728, b622d : Tkt : En:ENSRNOG00000016064, e801b : Dera : En:ENSRNOG00000007570, e9731 : Tkt : En:ENSRNOG00000016064, fccd6 : Rpia : En:ENSRNOG00000005576, fd3d1 : Pgls : En:ENSRNOG00000018326]	[]	[]	[]	[c13fd : 6-phosphogluconolactonate dehydrogenase : Br:, e8f08 : Phosphoglucomutase : :]
Glycolysis in senescence (WP5049)	83.0	12	10	0	2	0	0	[ac914 : Aldoc : En:ENSRNOG00000011452, b4b0b : Rb1 : En:ENSRNOG00000016029, bfd61 : Hk1 : En:ENSRNOG00000046891, c3fc5 : G6PD : En:ENSRNOG00000056728, e5486 : Prkaa1 : En:ENSRNOG00000012799, e823d : PGK1 : En:ENSRNOG00000058249, e982a : Tp53 : En:ENSRNOG00000010756, e9884 : Gapdh-ps1 : En:ENSRNOG00000071205, f39fc : PKM : En:ENSRNOG00000065303, f8ac6 : Pyruvate kinase : En:ENSRNOG00000065303]	[]	[a4df1 : Enolase : S:A0A024R4F1, c41bb : LDHA : En:ENSG00000134333]	[]	[]
Mevalonate arm of cholesterol biosynthesis pathway (WP4190)	94.0	17	16	0	1	0	0	[bf9be : Fdft1 : En:ENSRNOG00000021314, c0a0e : Acat1 : En:ENSRNOG00000007862, e0598 : Hmgcl : En:ENSRNOG00000009422, ed3ae : Hmgcs1 : En:ENSRNOG00000016552, f1c29 : Idi1 : En:ENSRNOG00000016690, f537e : Mvk : En:ENSRNOG00000049604, bd1ff : Pmvk : En:ENSRNOG00000020696, ed464 : Mvd : En:ENSRNOG00000013376, cb5cc : Ggps1 : En:ENSRNOG00000016767, c128e : RGD1564999 : En:ENSRNOG00000067140, b1566 : Ggps1 : En:ENSRNOG00000016767, e7795 : Acat1 : En:ENSRNOG00000007862, b37d5 : Hmgcl : En:ENSRNOG00000009422, a42f5 : ACAT2 : En:ENSRNOG00000067037, d4d61 : Hmgcs1 : En:ENSRNOG00000016552, cc384 : Hmgcr : En:ENSRNOG00000016122]	[]	[f9d3e : FDPS : S:P14324]	[]	[]
Caloric restriction and aging (WP4191)	88.0	9	8	0	1	0	0	[ae933 : Mtor : En:ENSRNOG00000009615, d774e : Nampt : En:ENSRNOG00000009754, d5f05 : Prkab2 : En:ENSRNOG00000018166, a8491 : Sirt1 : En:ENSRNOG00000051592, ab67f : Igf1 : En:ENSRNOG00000004517, cc388 : Ppargc1a : En:ENSRNOG00000004473, be906 : Akt1 : En:ENSRNOG00000028629, a2bbf : Tp53 : En:ENSRNOG00000010756]	[]	[e2ddd : FOXO : En:ENSG00000214295]	[]	[]
Insulin signaling (WP481)	98.0	163	160	0	3	0	0	[a02 : Stxbp2 : En:ENSRNOG00000000994, a0e : Pik3cd : En:ENSRNOG00000016846, a11 : Pik3c3 : En:ENSRNOG00000017840, a12 : Cyth3 : En:ENSRNOG00000001065, a14 : Ptprf : En:ENSRNOG00000019977, a24 : Rac1 : En:ENSRNOG00000001068, a2b : Gsk3b : En:ENSRNOG00000002833, a2c5c : Reg1a : En:ENSRNOG00000006486, a2e : Mink1 : En:ENSRNOG00000033508, a38 : Grb2 : En:ENSRNOG00000003990, a41 : Shc3 : En:ENSRNOG00000014366, a45 : Irs1 : En:ENSRNOG00000014597, a4f : Slc2a1 : En:ENSRNOG00000007284, ab4 : Rps6ka4 : En:ENSRNOG00000021117, abe : Ikbkb : En:ENSRNOG00000019073, ac2 : Map4k4 : En:ENSRNOG00000014013, ac6 : Socs3 : En:ENSRNOG00000063373, ad5 : Prkch : En:ENSRNOG00000004873, adf : Kif5b : En:ENSRNOG00000017466, ae8b4 : Irs1 : En:ENSRNOG00000014597, aea : Ehd2 : En:ENSRNOG00000011346, aef : Arf6 : En:ENSRNOG00000070951, af4 : Gyg1 : En:ENSRNOG00000011146, af6 : Akt2 : En:ENSRNOG00000018677, aff : Srf : En:ENSRNOG00000018232, b07 : Map3k2 : En:ENSRNOG00000014089, b0e : Rab4a : En:ENSRNOG00000017467, b10 : Prkcd : En:ENSRNOG00000016346, b14 : Akt1 : En:ENSRNOG00000028629, b15 : Cap1 : En:ENSRNOG00000013492, b1c : Rheb : En:ENSRNOG00000050578, b2b : Pfkm : En:ENSRNOG00000057988, b47 : Stxbp1 : En:ENSRNOG00000015420, b59 : Pik3r3 : En:ENSRNOG00000000145, b5a : Mapk12 : En:ENSRNOG00000031233, b62 : Pik3r1 : En:ENSRNOG00000018903, b67 : Map3k5 : En:ENSRNOG00000031700, b8a : Irs2 : En:ENSRNOG00000023509, bac : Pik3c2g : En:ENSRNOG00000034228, bad : Pik3r2 : En:ENSRNOG00000019228, bae : Mapk10 : En:ENSRNOG00000002079, bdd : Map3k3 : En:ENSRNOG00000061424, be2 : Map4k1 : En:ENSRNOG00000020505, bf3 : MAPK3 : En:ENSRNOG00000067941, bf9 : Rps6ka3 : En:ENSRNOG00000006632, c00 : Elk1 : En:ENSRNOG00000010171, c06 : Shc1 : En:ENSRNOG00000020657, c09 : Crk : En:ENSRNOG00000025792, c11 : Trib3 : En:ENSRNOG00000007319, c17 : Stxbp4 : En:ENSRNOG00000032768, c19 : Rps6ka6 : En:ENSRNOG00000002592, c27 : Insr : En:ENSRNOG00000029986, c3e : Xbp1 : En:ENSRNOG00000010298, c41 : Foxo1 : En:ENSRNOG00000013397, c46 : Eif4ebp1 : En:ENSRNOG00000012582, c48 : Tbc1d4 : En:ENSRNOG00000009431, c4e : Prkcb : En:ENSRNOG00000012061, c52 : Map2k7 : En:ENSRNOG00000001047, c54 : Rps6kb2 : En:ENSRNOG00000021689, c61 : Sos1 : En:ENSRNOG00000007106, c74 : Rac2 : En:ENSRNOG00000007350, c75 : Fos : En:ENSRNOG00000008015, c78 : Pik3cg : En:ENSRNOG00000009385, c81 : Rrad : En:ENSRNOG00000011901, c8b78 : Pik3ca : En:ENSRNOG00000056371, c8d : Sgk3 : En:ENSRNOG00000049052, c98 : Sh2b2 : En:ENSRNOG00000001425, ca1 : Mapk13 : En:ENSRNOG00000000515, ca6 : Gys1 : En:ENSRNOG00000020812, ca9 : Tsc2 : En:ENSRNOG00000011375, cb5 : Pik3cb : En:ENSRNOG00000016384, cc4 : Ehd1 : En:ENSRNOG00000043503, ccf : Map3k1 : En:ENSRNOG00000013177, cd1 : Map4k3 : En:ENSRNOG00000007172, cd8 : Enpp1 : En:ENSRNOG00000013994, cdb : Map2k6 : En:ENSRNOG00000004437, cdc : Arhgap33 : En:ENSRNOG00000024677, ce3 : Slc2a4 : En:ENSRNOG00000017226, cee : Map3k8 : En:ENSRNOG00000016378, d06 : Pfkl : En:ENSRNOG00000001214, d0b : Tsc1 : En:ENSRNOG00000011470, d13 : Map3k12 : En:ENSRNOG00000015134, d16 : Rps6ka5 : En:ENSRNOG00000004362, d1b : Stx4 : En:ENSRNOG00000019302, d20 : Igf1r : En:ENSRNOG00000014187, d24 : Prkcz : En:ENSRNOG00000015480, d37 : Snap25 : En:ENSRNOG00000006037, d40 : Map2k4 : En:ENSRNOG00000003834, d43 : Grb14 : En:ENSRNOG00000052498, d4c : Prkcq : En:ENSRNOG00000019057, d50 : Rps6ka1 : En:ENSRNOG00000042411, d54 : Mapk7 : En:ENSRNOG00000047907, d5c : Rps6ka2 : En:ENSRNOG00000013194, d77 : Mapk14 : En:ENSRNOG00000000513, d80 : Rps6kb1 : En:ENSRNOG00000003919, d8e : AABR07003537.1 : En:ENSRNOG00000021484, d93 : Map3k11 : En:ENSRNOG00000020773, d94 : Prkaa2 : En:ENSRNOG00000007706, da5 : AABR07053516.1 : En:ENSRNOG00000050552, db4 : Ptpn1 : En:ENSRNOG00000010574, dc9 : Mapk8 : En:ENSRNOG00000020155, dcb : Inppl1 : En:ENSRNOG00000019730, dd0 : Cblb : En:ENSRNOG00000001982, def : Map3k7 : En:ENSRNOG00000005724, dfa : Stxbp3 : En:ENSRNOG00000020392, dfc : Inpp4a : En:ENSRNOG00000017660, e07 : Sgk1 : En:ENSRNOG00000011815, e09 : Cbl : En:ENSRNOG00000008444, e1c : Pik3r4 : En:ENSRNOG00000013669, e20 : Mapk11 : En:ENSRNOG00000006984, e29 : Mapk9 : En:ENSRNOG00000002823, e35 : Ptpn11 : En:ENSRNOG00000030124, e3a : Gys2 : En:ENSRNOG00000059753, e41 : Jun : En:ENSRNOG00000026293, e43 : Socs1 : En:ENSRNOG00000002568, e50 : Mapk6 : En:ENSRNOG00000009381, e5c : Eif4e : En:ENSRNOG00000052343, e67 : Flot2 : En:ENSRNOG00000009681, e73 : Cblc : En:ENSRNOG00000018953, e74 : Myo1c : En:ENSRNOG00000004072, e7b : Gab1 : En:ENSRNOG00000017879, e7c : Rhoj : En:ENSRNOG00000021919, e87 : Gsk3a : En:ENSRNOG00000020417, e8c : Prkci : En:ENSRNOG00000009652, e9e : Prkaa1 : En:ENSRNOG00000012799, ea4 : Sorbs1 : En:ENSRNOG00000015658, ea7 : Sos2 : En:ENSRNOG00000004826, eab : Map3k13 : En:ENSRNOG00000025423, eb6 : Ppp1r3a : En:ENSRNOG00000059350, ebd : Raf1 : En:ENSRNOG00000010153, edb : ARF1 : En:ENSRNOG00000063798, eeb : Mtor : En:ENSRNOG00000009615, ef6 : Prkca : En:ENSRNOG00000003491, efb : Lipe : En:ENSRNOG00000020546, f07 : Map2k3 : En:ENSRNOG00000065992, f09 : Mapk4 : En:ENSRNOG00000015401, f15 : Map4k2 : En:ENSRNOG00000021061, f16 : Pdpk1 : En:ENSRNOG00000006136, f20 : AABR07039356.1 : En:ENSRNOG00000018301, f46 : Rapgef1 : En:ENSRNOG00000014316, f4f : Foxo3 : En:ENSRNOG00000000299, f56 : Map2k5 : En:ENSRNOG00000007926, f5b : Grb10 : En:ENSRNOG00000004290, f71 : Egr1 : En:ENSRNOG00000019422, f76 : Map3k10 : En:ENSRNOG00000023521, f8a : Vamp2 : En:ENSRNOG00000006989, f9d : Pik3c2a : En:ENSRNOG00000020479, f9f : Mapk1 : En:ENSRNOG00000001849, fa3 : Flot1 : En:ENSRNOG00000000826, fa4 : Pik3ca : En:ENSRNOG00000056371, fb0 : Map2k1 : En:ENSRNOG00000010176, fb3 : Map3k6 : En:ENSRNOG00000008936, fb6 : Sgk2 : En:ENSRNOG00000033573, fc5 : Map3k4 : En:ENSRNOG00000017419, fc6 : Map3k9 : En:ENSRNOG00000007271, fcb : Kif3a : En:ENSRNOG00000007515, fe3 : Map4k5 : En:ENSRNOG00000004923, fec : Map2k2 : En:ENSRNOG00000020005, ff3 : Mapk8 : En:ENSRNOG00000020155, ff9 : Map3k14 : En:ENSRNOG00000003278]	[]	[bfc : PTEN : L:5728, c8c : IRS4 : L:8471, e5f : SHC2 : L:25759]	[]	[]
Genes associated with the development of rheumatoid arthritis (WP5033)	83.0	18	15	0	3	0	0	[b0000 : Phf19 : En:ENSRNOG00000018874, b4b09 : Ptpn22 : En:ENSRNOG00000019614, d27f6 : Ciita : En:ENSRNOG00000002659, d5e18 : Traf1 : En:ENSRNOG00000048914, dde08 : AABR07029596.1 : En:ENSRNOG00000046195, c000b : Padi4 : En:ENSRNOG00000006855, ffeed : Il6st : En:ENSRNOG00000013963, a5fa7 : Blk : En:ENSRNOG00000010798, fed69 : Cd40 : En:ENSRNOG00000018488, ced68 : CD244 : En:ENSRNOG00000064255, ed5a9 : Irf5 : En:ENSRNOG00000007437, a31a0 : Ctla4 : En:ENSRNOG00000054129, b595c : Ccr6 : En:ENSRNOG00000012964, c04ff : Il2ra : En:ENSRNOG00000047647, eb5d3 : Itgav : En:ENSRNOG00000004912]	[]	[adeae : FCRL3 : En:ENSG00000160856, f49c4 : HLA-DRB1 : En:ENSG00000196126, f4dc3 : STAT4 : En:ENSG00000138378]	[]	[]
Angiotensin II receptor type 1 pathway (WP5036)	100.0	52	52	0	0	0	0	[ed53c : Tgfbr1 : En:ENSRNOG00000007036, df890 : Nox4 : En:ENSRNOG00000013925, dad2e : Map2k6 : En:ENSRNOG00000004437, d24b1 : Mapk1 : En:ENSRNOG00000001849, dd410 : Mas1 : En:ENSRNOG00000014971, dad69 : Tgfbr2 : En:ENSRNOG00000013265, e6d9d : Rack1 : En:ENSRNOG00000052620, d813c : Ace2 : En:ENSRNOG00000031665, daf0d : Rras : En:ENSRNOG00000037247, df283 : Raf1 : En:ENSRNOG00000010153, dc71a : Agt : En:ENSRNOG00000018445, c35f5 : Smad4 : En:ENSRNOG00000051965, cec82 : Pdgfd : En:ENSRNOG00000029148, d1dca : Il11ra1 : En:ENSRNOG00000015068, f37f0 : Acta2 : En:ENSRNOG00000058039, c24f3 : Sp1 : En:ENSRNOG00000014084, fbeee : Agtr1b : En:ENSRNOG00000010640, e3c7b : Smad3 : En:ENSRNOG00000008620, b4ae4 : Jund : En:ENSRNOG00000019568, c0f20 : Il11 : En:ENSRNOG00000017386, ca432 : Ccn2 : En:ENSRNOG00000015036, c0fa3 : F12 : En:ENSRNOG00000015139, e6d8d : Hif1a : En:ENSRNOG00000008292, ec0eb : Tgfb1 : En:ENSRNOG00000020652, e0e98 : Il6st : En:ENSRNOG00000013963, d0d33 : Ptpn11 : En:ENSRNOG00000030124, d00e9 : Col1a1 : En:ENSRNOG00000003897, ac84d : Agtr1b : En:ENSRNOG00000010640, f77c2 : Agtr1b : En:ENSRNOG00000010640, cb643 : Col1a2 : En:ENSRNOG00000011292, bdb9f : Tgfb1 : En:ENSRNOG00000020652, f35d9 : Il11 : En:ENSRNOG00000017386, bc58d : Col1a1 : En:ENSRNOG00000003897, df16f : Col1a2 : En:ENSRNOG00000011292, c230d : Tgfb1 : En:ENSRNOG00000020652, b9f88 : Smad3 : En:ENSRNOG00000008620, f2f2c : Agt : En:ENSRNOG00000018445, b1441 : Mapk1 : En:ENSRNOG00000001849, b3672 : Nox4 : En:ENSRNOG00000013925, ea34b : Col1a1 : En:ENSRNOG00000003897, ba4b8 : Col1a1 : En:ENSRNOG00000003897, de4b6 : Rras : En:ENSRNOG00000037247, c7493 : Raf1 : En:ENSRNOG00000010153, ecc80 : Map2k6 : En:ENSRNOG00000004437, eb35a : Mapk1 : En:ENSRNOG00000001849, da0b8 : Mapk1 : En:ENSRNOG00000001849, f76a3 : Tgfb1 : En:ENSRNOG00000020652, bbf8c : Tgfbr1 : En:ENSRNOG00000007036, d3c58 : Tgfbr2 : En:ENSRNOG00000013265, d6f81 : Smad3 : En:ENSRNOG00000008620, eaeb7 : Smad4 : En:ENSRNOG00000051965, a8bf8 : Smad3 : En:ENSRNOG00000008620]	[]	[]	[]	[]
Biotin metabolism, including IEMs (WP5031)	90.0	10	9	0	0	0	1	[f9680 : Pc : En:ENSRNOG00000019372, ca7d7 : Mccc1 : En:ENSRNOG00000013293, b2a8e : Btd : En:ENSRNOG00000019656, dc212 : Hlcs : En:ENSRNOG00000001686, bea0b : Acaca : En:ENSRNOG00000034013, e22b4 : Acacb : En:ENSRNOG00000000658, f2c12 : Mccc2 : En:ENSRNOG00000017752, f2940 : Pcca : En:ENSRNOG00000057042, cc97e : Pccb : En:ENSRNOG00000015869]	[]	[]	[]	[a1250 : Proteolysis : :]
Endochondral ossification (WP474)	95.0	69	66	0	2	1	0	[a0d65 : Alpl : En:ENSRNOG00000013954, a22 : Spp1 : En:ENSRNOG00000043451, a3044 : Fgfr3 : En:ENSRNOG00000016818, a3d96 : Mmp13 : En:ENSRNOG00000008478, a4c27 : Acan : En:ENSRNOG00000028992, a4e : Bmpr1a : En:ENSRNOG00000052469, a59 : Ihh : En:ENSRNOG00000018059, a61f3 : FGFR1 : En:ENSRNOG00000066572, a6b : Igf2 : En:ENSRNOG00000020369, a8d : Bmp6 : En:ENSRNOG00000013717, ad0 : Igf1 : En:ENSRNOG00000004517, ae867 : Slc38a2 : En:ENSRNOG00000006305, afacc : Tgfb1 : En:ENSRNOG00000020652, b08a5 : Cab39 : En:ENSRNOG00000017297, b134c : Mef2c : En:ENSRNOG00000033134, b1c58 : Col2a1 : En:ENSRNOG00000058560, b3065 : Adamts5 : En:ENSRNOG00000057794, b65a4 : Runx3 : En:ENSRNOG00000054217, b68 : Pth : En:ENSRNOG00000014318, b8e60 : Fgf18 : En:ENSRNOG00000048389, bb973 : Calm1 : En:ENSRNOG00000004060, bd4 : Scin : En:ENSRNOG00000004498, bdd89 : Runx2 : En:ENSRNOG00000020193, c68ba : Fgf2 : En:ENSRNOG00000017392, c6f46 : Sox6 : En:ENSRNOG00000020514, c83 : Ptch1 : En:ENSRNOG00000019354, c89 : Enpp1 : En:ENSRNOG00000013994, c8a : Prkaca : En:ENSRNOG00000005257, c91 : Kif3a : En:ENSRNOG00000007515, c9ee3 : Ptch1 : En:ENSRNOG00000019354, ced75 : Runx2 : En:ENSRNOG00000020193, ceefa : Chst11 : En:ENSRNOG00000008885, cf40b : Ctsl : En:ENSRNOG00000018566, cf8 : Tgfb2 : En:ENSRNOG00000002418, d08 : Akt1 : En:ENSRNOG00000028629, d0b : Gh1 : En:ENSRNOG00000011207, d15 : Gli3 : En:ENSRNOG00000014395, d2c18 : Hmgcs1 : En:ENSRNOG00000016552, d4444 : Vegfa : En:ENSRNOG00000019598, d7565 : Mmp9 : En:ENSRNOG00000017539, d8046 : Serpinh1 : En:ENSRNOG00000016831, d92 : Bmp7 : En:ENSRNOG00000053384, d9244 : Cdkn1c : En:ENSRNOG00000059500, dc3 : Sox9 : En:ENSRNOG00000002607, dc4 : Thra : En:ENSRNOG00000009066, dcd : Runx2 : En:ENSRNOG00000020193, dcd11 : Stat4 : En:ENSRNOG00000014079, dcd77 : Adamts1 : En:ENSRNOG00000001607, ddd : Thra : En:ENSRNOG00000009066, dfa : Ghr : En:ENSRNOG00000015654, e1430 : Plau : En:ENSRNOG00000010516, e5014 : Mgp : En:ENSRNOG00000005695, e5b : Stat5b : En:ENSRNOG00000019075, e8050 : Adamts4 : En:ENSRNOG00000003538, e99 : Tgfb1 : En:ENSRNOG00000020652, e9b : Igf1r : En:ENSRNOG00000014187, ebb : Ift88 : En:ENSRNOG00000009278, eee47 : Ddr2 : En:ENSRNOG00000002881, f22e4 : Nkx3-2 : En:ENSRNOG00000060782, f8442 : Frzb : En:ENSRNOG00000007765, f8fad : Plat : En:ENSRNOG00000019018, fa835 : Hdac4 : En:ENSRNOG00000020372, fb3 : Pthlh : En:ENSRNOG00000069267, fb5 : Pth1r : En:ENSRNOG00000020948, fb8bf : Sox5 : En:ENSRNOG00000027869, ffd15 : Timp3 : En:ENSRNOG00000004303]	[]	[e78 : COL10A1 : L:1300, f5e : Carminerin : L:1473]	[cca : TNAP : L:445341]	[]
Transcriptional activation by NRF2 in response to phytochemicals (WP3)	100.0	21	21	0	0	0	0	[dbe12 : Ephb2 : En:ENSRNOG00000012531, b3620 : Cebpb : En:ENSRNOG00000057347, d79c3 : Maf : En:ENSRNOG00000012428, dea4c : Pik3ca : En:ENSRNOG00000056371, cecad : Gclc : En:ENSRNOG00000006302, a859f : Mapk8 : En:ENSRNOG00000020155, b06bd : Aimp2 : En:ENSRNOG00000001044, b68db : Nfe2l2 : En:ENSRNOG00000001548, a62fe : Prkca : En:ENSRNOG00000003491, d3b16 : Nfe2l2 : En:ENSRNOG00000001548, d61e1 : Keap1 : En:ENSRNOG00000020878, d4c77 : Hmox1 : En:ENSRNOG00000014117, a1b6d : Slc7a11 : En:ENSRNOG00000010210, f553c : Nqo1 : En:ENSRNOG00000012772, dfa5a : GSTA2 : En:ENSRNOG00000024755, f5ed1 : Gclm : En:ENSRNOG00000013409, be345 : Keap1 : En:ENSRNOG00000020878, c9ebb : Cebpb : En:ENSRNOG00000057347, b5bb9 : Nfe2l2 : En:ENSRNOG00000001548, e3f69 : Keap1 : En:ENSRNOG00000020878, b2519 : Nfe2l2 : En:ENSRNOG00000001548]	[]	[]	[]	[]
